,train_error
0,0.007928735576570034
1,0.0077812401577830315
2,0.008208908140659332
3,0.005458548199385405
4,0.016870247200131416
5,0.014953574165701866
6,0.01547885313630104
7,0.014771542511880398
8,0.014638938009738922
9,0.013686674647033215
10,0.01289041992276907
11,0.011202859692275524
12,0.00784026738256216
13,0.008012884296476841
14,0.008195233531296253
15,0.007552869152277708
16,0.007526527624577284
17,0.00732382433488965
18,0.006040183361619711
19,0.006683156825602055
20,0.008899422362446785
21,0.010550644248723984
22,0.012481126934289932
23,0.011000296100974083
24,0.00475690932944417
25,0.004074204713106155
26,0.003730250056833029
27,0.0041138785891234875
28,0.0037416429258883
29,0.004017850384116173
30,0.004662529565393925
31,0.005592904984951019
32,0.004573204554617405
33,0.0036515097599476576
34,0.0033941783476620913
35,0.0034447822254151106
36,0.0028234519995748997
37,0.002692210953682661
38,0.0018706668633967638
39,0.0016699236584827304
40,0.0017359991325065494
41,0.0018537386786192656
42,0.0021504962351173162
43,0.003173076082020998
44,0.0032874159514904022
45,0.0029429986607283354
46,0.003030112711712718
47,0.0029165910091251135
48,0.0033567151986062527
49,0.003292384557425976
50,0.002667441498488188
51,0.0030313057359308004
52,0.003143887734040618
53,0.002077335026115179
54,0.002280698623508215
55,0.002425967948511243
56,0.004777108784765005
57,0.0054724207147955894
58,0.0047357892617583275
59,0.004272954538464546
60,0.004035651218146086
61,0.003989611752331257
62,0.0034534435253590345
63,0.0029626144096255302
64,0.0029834373854100704
65,0.002946278778836131
66,0.0023839452769607306
67,0.002581380307674408
68,0.0031507182866334915
69,0.0036675995215773582
70,0.0036657636519521475
71,0.003313058987259865
72,0.0032933277543634176
73,0.003493027063086629
74,0.002852590987458825
75,0.002791597740724683
76,0.003029622370377183
77,0.002838383661583066
78,0.0035132686607539654
79,0.004388907458633184
80,0.004735719412565231
81,0.004902361426502466
82,0.004164837300777435
83,0.0046949442476034164
84,0.0042029558680951595
85,0.004397917538881302
86,0.004485033452510834
87,0.004793788306415081
88,0.005271522328257561
89,0.004959104582667351
90,0.004500356502830982
91,0.004044880624860525
92,0.0039036888629198074
93,0.00449303537607193
94,0.005009869113564491
95,0.006572273559868336
96,0.004934006370604038
97,0.004169233608990908
98,0.004435217473655939
99,0.004282929003238678
100,0.004411741159856319
101,0.004847740288823843
102,0.005461277440190315
103,0.006805059965699911
104,0.006082840729504824
105,0.0055223191156983376
106,0.004712712485343218
107,0.004536180756986141
108,0.004966598004102707
109,0.004407656844705343
110,0.004444594960659742
111,0.004240496549755335
112,0.005543382838368416
113,0.005427027121186256
114,0.00543635617941618
115,0.00610991008579731
116,0.005092400126159191
117,0.0062604183331131935
118,0.0067653534933924675
119,0.006144333630800247
120,0.0037174744065850973
121,0.006846891716122627
122,0.0070099541917443275
123,0.006943562068045139
124,0.004053890705108643
125,0.0037190772127360106
126,0.0037082789931446314
127,0.0033854444045573473
128,0.004125853069126606
129,0.0037597157061100006
130,0.0034327947068959475
131,0.0036829926539212465
132,0.005037536844611168
133,0.00453926669433713
134,0.004000172019004822
135,0.00320335291326046
